CategoryTitle,CategoryTitleEn,SubcategoryTitle,SubcategoryTitleEn,ItemName,ItemNameEn,ItemPrice,Calories,PortionSize,Availability,ItemDescription,ItemDescriptionEn
"PIZZAS","PIZZAS","","","Margherita","",10.00,,"",,"Tomate, Mozzarella, Manjericão","Tomato, Mozzarella, Basil"
"PIZZAS","PIZZAS","","","Diablo","",13.60,,"",,"Tomate, Mozzarella, Paprika, Chourição Ibérico (Picante Opcional)","Tomato, Mozzarella, Paprika, Iberian Chorizo (Spicy Optional)"
"PIZZAS","PIZZAS","","","Del Bolota Pig","",15.80,,"",,"Tomate, Mozzarella, Chourição, Salpicão Ibérico, Ananás, Mel, Orégãos","Tomato, Mozzarella, Smoked Sausage, Iberian Sausage, Pineapple, Honey, Oregano"
"PIZZAS","PIZZAS","","","Rúcula & Cogumelos","",14.00,,"",,"Tomate, Mozzarella, Paprika, Rúcula, Cogumelos, Grana Padano","Tomato, Mozzarella, Paprika, Arugula, Mushrooms, Grana Padano"
"PIZZAS","PIZZAS","","","PI","",13.40,,"",,"Tomate, Mozzarella, Pimento Vermelho, Azeitonas, Orégãos","Tomato, Mozzarella, Red Peppers, Olives, Oregano"
"PIZZAS","PIZZAS","","","Mariquita","",14.90,,"",,"Tomate, Mozzarella, Cebola, Azeitonas, Presunto de Porco Preto","Tomato, Mozzarella, Onion, Olives, Black Iberian Ham"
"PIZZAS","PIZZAS","","","RA","",14.40,,"",,"Tomate, Mozzarella, Chourição Ibérico, Tomate Seco, Cebola Roxa, Piri-Piri","Tomato, Mozzarella, Iberian Chorizo, Sundried Tomato, Red Onion, Piri Piri"
"PIZZAS","PIZZAS","","","DU","",13.80,,"",,"Tomate, Mozzarella, Cebola Roxa, Curgete, Gorgonzola","Tomato, Mozzarella, Red Onion, Courgette, Gorgonzola"
"PIZZAS","PIZZAS","","","Sweet Morcela","",13.80,,"",,"Tomate, Compota de Pêssego, Mozzarella, Morcela","Tomato, Peach Jam, Mozzarella, Black Pudding"
"PIZZAS","PIZZAS","","","Havaiana","",13.30,,"",,"Tomate, Mozzarella, Fiambre, Ananás","Tomato, Mozzarella, Ham, Pineapple"
"PIZZAS","PIZZAS","","","4 Formaggi","",14.00,,"",,"Tomate, Mozzarella, Grana Padano, Gorgonzola, Emmental","Tomato, Mozzarella, Grana Padano, Gorgonzola, Emmental"
"PIZZAS","PIZZAS","","","Tomate Seco & Parmesão","",14.80,,"",,"Tomate, Mozzarella, Rúcula, Tomate Seco, Parmesão","Tomato, Mozzarella, Arugula, Sundried Tomato, Parmigiano"
"PIZZAS","PIZZAS","","","Farinhiera","",13.80,,"",,"Tomate, Mozzarella, Farinhiera, Natas, Azeite, Alho, 5 Pimentas","Tomato, Mozzarella, Smoked Flour Sausage, Cream, Olive Oil, Garlic, 5 Peppers"
"PIZZAS","PIZZAS","","","Bacon & Cogumelos","",14.80,,"",,"Tomate, Mozzarella, Bacon, Cogumelos","Tomato, Mozzarella, Bacon, Mushrooms"
"PIZZAS","PIZZAS","","","Rúcula & Presunto Porco Preto","",16.40,,"",,"Tomate, Mozzarella, Paprika, Rúcula, Presunto de Porco Preto","Tomato, Mozzarella, Paprika, Arugula, Black Iberian Ham, Grana Padano"
