CategoryTitle,CategoryTitleEn,SubcategoryTitle,SubcategoryTitleEn,ItemName,ItemNameEn,ItemPrice,Calories,PortionSize,Availability,ItemDescription,ItemDescriptionEn
"ENTRADAS","STARTERS","","","Azeitonas","Olives",1.60,,,,,
"ENTRADAS","STARTERS","","","Cesto de Pão","Bread Basket",1.80,,,,,
"ENTRADAS","STARTERS","","","Creme de Legumes","Cream of Vegetables",3.00,,,,,
"PARA PARTILHAR","TO SHARE","","","Nachos & Guacamole","Nachos & Guacamole",7.50,,,,,
"PARA PARTILHAR","TO SHARE","","","REGATTA Tuna","Marinated Tuna",12.90,,,,,"Atum Fresco Marinado","Marinated Tuna"
"PARA PARTILHAR","TO SHARE","","","Presunto Ibérico","Iberian Ham",10.00,,,,,
"PARA PARTILHAR","TO SHARE","","","Tábua Queijos e Enchidos","Cheese and Sausage Board",13.50,,,,,
"BRUSCHETTAS","BRUSCHETTAS","","","Queijo & Alho","Garlic & Cheese",4.60,,,,,
"BRUSCHETTAS","BRUSCHETTAS","","","Tomate & Mozzarella","Tomato & Mozzarella",5.50,,,,,
"BRUSCHETTAS","BRUSCHETTAS","","","Gorgonzola & Mel","Gorgonzola & Honey",6.20,,,,,
"BRUSCHETTAS","BRUSCHETTAS","","","Tomate & Gorgonzola","Tomato & Gorgonzola",6.00,,,,,
"BRUSCHETTAS","BRUSCHETTAS","","","Tomate & Presunto Ibérico","Tomato & Iberian Ham",6.50,,,,,
"BRUSCHETTAS","BRUSCHETTAS","","","Tomate & Cebola Roxa","Tomato & Red Onion",4.50,,,,,
