CategoryTitle,CategoryTitleEn,SubcategoryTitle,SubcategoryTitleEn,ItemName,ItemNameEn,ItemPrice,Calories,PortionSize,Availability,ItemDescription,ItemDescriptionEn
"BAOS","","","","BAO de Pato","Duck",4.70,,"1 unid",,,
"BAOS","","","","BAO de Camarão","Shrimp",4.70,,"1 unid",,,
"BAOS","","","","BAO de Choco","Cuttlefish",4.70,,"1 unid",,,
"BAOS","","","","BAO de Porco","Pork",4.70,,"1 unid",,,
"BAOS","","","","BAO de Tofu","Tofu",4.70,,"1 unid",,,
"OS NOSSOS CREPES","","","","Crepes de Pato Lacado","Duck",4.90,,"2 unid",,,
"OS NOSSOS CREPES","","","","Crepes de Vitela e camarão com espargos","Veal, Shrimp & Asparagus",4.90,,"2 unid",,,
"OS NOSSOS CREPES","","","","Crepes de Vegetais","Vegetables",4.90,,"2 unid",,,
"OUTROS CROCANTES","","","","Saquinhos da Fortuna","",4.50,,"3 unid",,"Galinha, Vegetais, côco e aroma de caril","Chicken, Vegetables & touch of coconut and curry"
"OUTROS CROCANTES","","","","Won Ton Szechuan","",4.50,,"3 unid",,"Porco, Paksoy, Soja e Piri-piri","Pork, Paksoy, Soya & Chilli"
"OUTROS CROCANTES","","","","Camarão Xangai","",4.50,,"3 unid",,"Camarão e Batata em molho picante","Shrimp & Potato in Chilli sauce"
"OUTROS CROCANTES","","","","Crab Cake","",4.50,,"3 unid",,"Peixe, Caranguejo, Batata e Vegetais","Fish, Crab, Potato & Vegetables"
